Tanggal;Harga
19/07/2021;950000
21/07/2021;947000
22/07/2021;946000
23/07/2021;946000
24/07/2021;943000
26/07/2021;942000
27/07/2021;940000
28/07/2021;940000
29/07/2021;945000
30/07/2021;953000
31/07/2021;948000
02/08/2021;948000
03/08/2021;948000
04/08/2021;943000
05/08/2021;941000
06/08/2021;939000
07/08/2021;931000
09/08/2021;921000
10/08/2021;925000
12/08/2021;932000
13/08/2021;932000
14/08/2021;942000
16/08/2021;942000
18/08/2021;946000
19/08/2021;947000
20/08/2021;946000
21/08/2021;948000
23/08/2021;946000
24/08/2021;953000
25/08/2021;950000
26/08/2021;942000
27/08/2021;942000
28/08/2021;951000
30/08/2021;951000
31/08/2021;944000
01/09/2021;941000
02/09/2021;939000
03/09/2021;937000
04/09/2021;943000
06/09/2021;942000
07/09/2021;940000
08/09/2021;928000
09/09/2021;930000
10/09/2021;934000
11/09/2021;929000
13/09/2021;929000
14/09/2021;932000
15/09/2021;936000
16/09/2021;932000
17/09/2021;918000
18/09/2021;918000
19/09/2021;918000
20/09/2021;917000
21/09/2021;922000
22/09/2021;926000
23/09/2021;924000
24/09/2021;917000
25/09/2021;918000
26/09/2021;918000
27/09/2021;918000
28/09/2021;918000
29/09/2021;913000
30/09/2021;913000
01/10/2021;922000
02/10/2021;923000
03/10/2021;923000
04/10/2021;924000
05/10/2021;922000
06/10/2021;917000
07/10/2021;918000
08/10/2021;914000
09/10/2021;914000
10/10/2021;914000
11/10/2021;914000
12/10/2021;912000
13/10/2021;916000
14/10/2021;928000
15/10/2021;926000
16/10/2021;914000
17/10/2021;914000
18/10/2021;915000
19/10/2021;915000
20/10/2021;916000
21/10/2021;921000
22/10/2021;925000
23/10/2021;928000
24/10/2021;928000
25/10/2021;929000
26/10/2021;934000
27/10/2021;929000
28/10/2021;930000
29/10/2021;931000
30/10/2021;925000
31/10/2021;925000
01/11/2021;924000
02/11/2021;930000
03/11/2021;929000
04/11/2021;927000
05/11/2021;934000
06/11/2021;946000
07/11/2021;946000
08/11/2021;945000
09/11/2021;943000
10/11/2021;943000
11/11/2021;951000
12/11/2021;956000
13/11/2021;955000
14/11/2021;955000
15/11/2021;955000
16/11/2021;952000
17/11/2021;948000
18/11/2021;956000
19/11/2021;953000
20/11/2021;947000
21/11/2021;947000
22/11/2021;947000
23/11/2021;935000
24/11/2021;929000
25/11/2021;929000
26/11/2021;930000
27/11/2021;929000
29/11/2021;930000
30/11/2021;930000
01/12/2021;925000
02/12/2021;929000
03/12/2021;926000
04/12/2021;932000
06/12/2021;932000
07/12/2021;933000
08/12/2021;933000
09/12/2021;930000
10/12/2021;927000
11/12/2021;930000
13/12/2021;930000
14/12/2021;929000
15/12/2021;924000
16/12/2021;927000
17/12/2021;934000
18/12/2021;934000
20/12/2021;935000
21/12/2021;934000
22/12/2021;931000
23/12/2021;932000
24/12/2021;933000
27/12/2021;931000
28/12/2021;934000
29/12/2021;932000
30/12/2021;933000
31/12/2021;938000
03/01/2022;945000
04/01/2022;935000
05/01/2022;940000
06/01/2022;941000
07/01/2022;934000
08/01/2022;934000
10/01/2022;933000
11/01/2022;934000
12/01/2022;940000
13/01/2022;941000
14/01/2022;939000
15/01/2022;938000
17/01/2022;937000
18/01/2022;939000
19/01/2022;936000
20/01/2022;948000
21/01/2022;947000
22/01/2022;945000
24/01/2022;944000
25/01/2022;947000
26/01/2022;950000
27/01/2022;938000
28/01/2022;930000
29/01/2022;928000
31/01/2022;927000
01/02/2022;931000
02/02/2022;932000
03/02/2022;933000
04/02/2022;934000
05/02/2022;935000
07/02/2022;937000
08/02/2022;943000
09/02/2022;943000
10/02/2022;945000
11/02/2022;941000
12/02/2022;953000
14/02/2022;953000
15/02/2022;957000
16/02/2022;946000
17/02/2022;953000
18/02/2022;967000
19/02/2022;969000
21/02/2022;972000
22/02/2022;972000
23/02/2022;969000
24/02/2022;974000
24/02/2022;894000
24/02/2022;994000
25/02/2022;975000
26/02/2022;969000
28/02/2022;978000
01/03/2022;977000
02/03/2022;987000
03/03/2022;987000
04/03/2022;990000
05/03/2022;1005000
06/03/2022;1005000
07/03/2022;1013000
08/03/2022;1019000
09/03/2022;1036000
10/03/2022;1010000
11/03/2022;1010000
12/03/2022;1009000
13/03/2022;1009000
14/03/2022;1001000
15/03/2022;994000
16/03/2022;984000
17/03/2022;986000
18/03/2022;991000
19/03/2022;984000
20/03/2022;984000
21/03/2022;983000
22/03/2022;989000
23/03/2022;984000
24/03/2022;994000
25/03/2022;1000000
26/03/2022;999000
27/03/2022;999000
28/03/2022;999000
29/03/2022;985000
30/03/2022;983000
31/03/2022;987000
01/04/2022;989000
02/04/2022;985000
03/04/2022;985000
04/04/2022;985000
05/04/2022;988000
06/04/2022;983000
07/04/2022;984000
08/04/2022;988000
09/04/2022;994000
11/04/2022;993000
12/04/2022;997000
13/04/2022;1002000
14/04/2022;1006000
15/04/2022;1005000
16/04/2022;1005000
17/04/2022;1005000
18/04/2022;1010000
19/04/2022;1007000
20/04/2022;995000
21/04/2022;998000
22/04/2022;997000
23/04/2022;989000
24/04/2022;989000
25/04/2022;988000
26/04/2022;982000
27/04/2022;981000
28/04/2022;975000
08/05/2022;975000
09/05/2022;977000
10/05/2022;970000
11/05/2022;966000
12/05/2022;975000
13/05/2022;969000
14/05/2022;967000
15/05/2022;967000
16/05/2022;967000
17/05/2022;974000
18/05/2022;971000
19/05/2022;973000
20/05/2022;985000
21/05/2022;984000
22/05/2022;984000
23/05/2022;984000
24/05/2022;987000
25/05/2022;992000
